sample_index,adc_raw,voltage_V
289,1840,0.37063
290,2167,0.43650
291,2166,0.43629
292,1854,0.37345
293,1241,0.24997
294,679,0.13677
295,303,0.06103
296,381,0.07674
297,776,0.15631
298,1403,0.28260
299,1920,0.38674
300,2142,0.43146
301,2103,0.42360
302,1706,0.34364
303,1156,0.23285
304,586,0.11804
305,341,0.06869
306,459,0.09246
307,966,0.19458
308,1499,0.30194
309,1997,0.40225
310,2176,0.43831
311,2068,0.41655
312,1537,0.30960
313,928,0.18693
314,479,0.09648
315,317,0.06385
316,581,0.11703
317,1066,0.21472
318,1661,0.33457
319,2130,0.42904
320,2175,0.43811
321,1941,0.39097
322,1410,0.28401
323,835,0.16819
324,423,0.08520
325,320,0.06446
326,673,0.13556
327,1259,0.25360
328,1821,0.36680
329,2170,0.43710
330,2176,0.43831
331,1806,0.36378
332,1282,0.25823
333,683,0.13758
334,350,0.07050
335,432,0.08702
336,774,0.15591
337,1354,0.27273
338,1956,0.39399
339,2175,0.43811
340,2091,0.42119
341,1692,0.34082
342,1139,0.22943
343,510,0.10273
344,347,0.06990
345,460,0.09266
346,954,0.19216
347,1568,0.31584
348,2070,0.41696
349,2185,0.44012
350,1999,0.40266
351,1511,0.30436
352,998,0.20103
353,558,0.11240
354,338,0.06808
355,604,0.12166
356,1145,0.23064
357,1704,0.34323
358,2079,0.41877
359,2175,0.43811
360,1920,0.38674
361,1412,0.28442
362,773,0.15570
363,395,0.07956
364,378,0.07614
365,712,0.14342
366,1238,0.24937
367,1795,0.36156
368,2113,0.42562
369,2162,0.43549
370,1814,0.36539
371,1240,0.24977
372,702,0.14140
373,310,0.06244
374,398,0.08017
375,851,0.17142
376,1410,0.28401
377,1953,0.39339
378,2142,0.43146
379,2086,0.42018
380,1702,0.34283
381,1117,0.22500
382,546,0.10998
383,352,0.07090
384,512,0.10313
385,986,0.19861
386,1570,0.31624
387,2030,0.40890
388,2181,0.43932
389,2003,0.40346
390,1485,0.29912
391,908,0.18290
392,415,0.08359
393,362,0.07292
394,619,0.12468
395,1108,0.22318
396,1759,0.35431
397,2103,0.42360
398,2165,0.43609
